question	output	answer
Name some comic characters created by Bruce Timm?	Freakazoid!, Nora Fries, Ms. Gsptlsnz, Harley Quinn, Justice League (TV series), Derek Powers, Condiment King, The New Batman Adventures, Mercy Graves, Batman: The Animated Series, Batman (Terry McGinnis), Livewire (DC Comics), Roland Daggett, Roxy Rocket	The comics characters whose creator is Bruce Timm are Freakazoid!, Nora Fries, Ms. Gsptlsnz, Harley Quinn, Justice League (TV series), Derek Powers, Condiment King, The New Batman Adventures, Mercy Graves, Batman: The Animated Series, Batman (Terry McGinnis), Livewire (DC Comics), Roland Daggett, Roxy Rocket.
Give me the count of newspaper whose language is Sweedish and headquartered at stockholm ?	17	There are 17 newspapers in Swedish language with headquarters in Stockholm.
Name the sitcoms whose network's owning company is Chris-Craft Industries?	Babylon 5, Babylon 5: The Gathering, Kung Fu: The Legend Continues, Time Trax, Island City (film), Pointman	The television shows whose network's owning company is Chris-Craft Industries are Babylon 5, Babylon 5: The Gathering, Kung Fu: The Legend Continues, Time Trax, Island City (film), Pointman.
Who did Bruce Bochy play for?	San Francisco Giants	San Francisco Giants is the team where Bruce Bochy played for.
How many other families of the mammals exists whose one family is also Hominidae?	178	There are 178 families of mammals whose one family is Hominidae.
Which awards have Ingmar Bergman won?	Academy Awards, Goethe Prize, Praemium Imperiale	Ingmar Bergman has received the following awards: Academy Awards, Goethe Prize, Praemium Imperiale.
Who is associated with the musical artists from Africa '70 (band) and Tony Allen ?	Fela Kuti	The musical artist associated with both Africa '70 (band) and Tony Allen is Fela Kuti.
What is the fictional character whose voice over is done by the animator of Dick Lundy ?	Mickey Mouse	The fictional character whose voice over is done by Dick Lundy (animator) is Mickey Mouse.
Name the airlines which have a hub in airport in San Francisco?	Virgin America, Pacific Air Lines	The airlines whose hub is San Francisco airport are Virgin America, Pacific Air Lines.
Who is the person whose child performed with Tony Bennett?	Ella Fitzgerald	The person whose child associated with Tony Bennett is Ella Fitzgerald.
In how many places are the tombs of everyone who died in England?	7	The tombs of everyone who died in England are in 7 places.
What is the total number of politicians whose predecessor's deputy is Jenny Macklin?	18	There are 18 office holders whose predecessor's deputy is Jenny Macklin.
In how many different places can I fnd Modern Architectural buildings?	119	There are 119 places with Modern architecture style of buildings.
Name the river whose mouth mountain is Southend-on-Sea and mouth place is Essex?	River Thames	The river whose mouth mountain is Southend-on-Sea and mouth place is Essex is River Thames.
Who debuted their career in a team coached by Chip Kelly?	answer	The people debuted in a team coached by Chip Kelly are answer.
Name the ssignificant buildings of Ivan Fomin ?	Moscow, Kiev, Krasnye Vorota (Moscow Metro), Moscow Metro, Government Building, Kiev	The significant buildings of Ivan Fomin are Moscow, Kiev, Krasnye Vorota (Moscow Metro), Moscow Metro, Government Building, Kiev.
What is the common ideology followed by Katyayana and Palang Dharma Party ?	Buddhism	The religion of Katyayana and ideology of Palang Dharma Party is Buddhism.
How many other battles have the military person fought whose one of the battles is World War II ?	36659	There are 36659 battles of the military persons whose one of the battles is World War II.
List the driver of San Marino Grand Prix who is also the Pole driver of Canadian Grand Prix?	Michael Schumacher	Michael Schumacher is the first driver of the 1999 San Marino Grand Prix and had the pole position on the 1997 Canadian Grand Prix.
What is the birth city of trainer of Leallah?	Kentucky, Versailles, Kentucky, United States	The birth place of the trainer of Leallah is Kentucky, Versailles, Kentucky, United States.
What river is it whose source is Dowra?	River Shannon	The river with source location in Dowra is River Shannon.
Name the loocation of Lekh Castle which is also the location of Samur-Absheron channel ?	Azerbaijan	The location of Lekh Castle and the source country of the Samur-Absheron channel is Azerbaijan.
What religion are the characters of Absolutely Fabulous from?	Buddhism	Buddhism is the religious affiliation of the fictional characters of Absolutely Fabulous series.
Which sport of Vishwajyot High School is also the genre of Battle chess	Chess	Chess is the genre of Battle Chess and sport of Vishwajyot High School.
does the journal of cancer have the creative commons license?	Yes	Yes, <Creative Commons license> is the <content license> of <Journal of Cancer>.
How many home stadiums are there of the seasons whose chairman in Merritt Paulson?	46	There are 46 home stadiums of the seasons whose chairman is Merritt Paulson.
What other destinations do airlines go to, whose flights also come to Glasgow?	answer	The destinations of the airlines whose one target airport is Glasgow Airport are answer.
Which place of Geography Club is the location of Seattle Great Wheel ?	Seattle	The common location of the Seattle Great Wheel and Geography Club is Seattle.
On what subjects was Broca's Brain written?	Brain, Outline of space science, Intellect, Paul Broca	The subjects of Broca's Brain are Brain, Outline of space science, Intellect, Paul Broca.
How many shows are made by Playtone?	8	There are 8 television shows made by Playtone.
What is the alma mater of Andrew W. Lewis ?	Dartmouth College	The alma mater of Andrew W. Lewis is Dartmouth College.
What are the regions in which the distributor of Secrets and Lies serves ?	North America	North America is the region served by the distributor of Secrets and Lies (U.S. TV series) .
Who is the owner of Bloomberg L.P. ?	Michael Bloomberg	Michael Bloomberg is the owner of Bloomberg LP.
Who are the managers of england national under 20 football team?	Gareth Southgate, Peter Taylor (footballer, born 1953), Brian Eastick, David Burnside (footballer), Chris Ramsey (footballer)	The club managers of the England national under 20 football team are Gareth Southgate, Peter Taylor (footballer, born 1953), Brian Eastick, David Burnside (footballer), Chris Ramsey (footballer).
What is the river one of whose left tributary's native name is Arabic?	Jordan River	Jordan River is the river whose left tributary's native name is Arabic.
By which companies is RENFE Class 333 designed?	General Motors, MACOSA, NOHAB, Alstom	The designers of RENFE Class 333 are General Motors, MACOSA, NOHAB, Alstom.
Name the battle fought by the people which also fought in Levant ?	Morocco, World War I, Korean War, Battles of Narvik, Algeria, World War II, Tonkin, Levant	The battles of the military people whose oen battle is Levant are Morocco, World War I, Korean War, Battles of Narvik, Algeria, World War II, Tonkin, Levant.
Which movies have someone on their cast from Shelby County in Tennessee?	Escape from New York, South Park: Bigger, Longer & Uncut, Truck Turner, Soul Men, It Seemed Like a Good Idea at the Time, Escuadrón, Frontera Sur (1993 film), Return to Sleepaway Camp, Wattstax, I'm Gonna Git You Sucka, Anonymous Rex (film), Kill Switch (film), Magic Island (film)	The films whose cast member's hometown is Shelby County, Tennessee are Escape from New York, South Park: Bigger, Longer & Uncut, Truck Turner, Soul Men, It Seemed Like a Good Idea at the Time, Escuadrón, Frontera Sur (1993 film), Return to Sleepaway Camp, Wattstax, I'm Gonna Git You Sucka, Anonymous Rex (film), Kill Switch (film), Magic Island (film).
Where does the river end, into which the Rakitnica flows?	Croatia	The mouth country of the river whose right tributary is Rakitnica is Croatia.
Graduates of Somerville College have been in how many political parties?	13	There are 13 parties of the members whose alma mater is Somerville College, Oxford.
How many game series exist for iOS?	413	There are 413 series of the video games whose game platform is IOS .
What is the college of the basketball player who lives in Ashton Historic district?	Brown University, Yale University	The colleges of the baseball player who lives in Ashton Historic District are Brown University, Yale University.
What are some devices made by Taiwanese companies?	PlayStation 3, Telikin, Asus Fonepad, Asus PadFone, Asus Transformer Pad TF701T, Nexus Player, Nexus 7 (2012), Nexus 7 (2013), Asus Memo Pad 8, Asus Memo Pad ME172V, ASUS MeMO Pad HD 7	The devices manufactured by companies which are located in Taiwan are PlayStation 3, Telikin, Asus Fonepad, Asus PadFone, Asus Transformer Pad TF701T, Nexus Player, Nexus 7 (2012), Nexus 7 (2013), Asus Memo Pad 8, Asus Memo Pad ME172V, ASUS MeMO Pad HD 7.
What are some shows by Comedy Central?	answer	The television shows whose network is Comedy Central are answer.
Name the nearest city to David W. Brown House ?	Colorado, Arapahoe County, Colorado, Englewood, Colorado	The nearest cities to David W. Brown House are Colorado, Arapahoe County, Colorado, Englewood, Colorado.
What are some licensees of the stations playing in Nashville, Tennessee?	Cumulus Licensing LLC, Capstar TX LLC, Radio License Holding CBC, LLC, Midwest Communications, Inc., Caron Broadcasting, Inc., Vanderbilt University, Community Broadcasting, Inc.	The licensees of the radio stations playing in Nashville, Tennessee are Cumulus Licensing LLC, Capstar TX LLC, Radio License Holding CBC, LLC, Midwest Communications, Inc., Caron Broadcasting, Inc., Vanderbilt University, Community Broadcasting, Inc..
What kind of games can I find for PC 9800?	answer	The genres of the video games available for PC 9800 computing platform are answer.
What are the movies whose music is given by Laurie Johnson?	answer	The films whose music is given by Laurie Johnson are answer.
Organization holding stocks of  Galician and German wikipedias?	Wikimedia Foundation	The stockholder of Galician and German Wikipedia is Wikimedia Foundation.
List the award which have been won by both Charles LeMaire and Nick Park ?	Academy Awards	Academy Awards gives awards to both Charles LeMaire and Nick Park.
